বালাসরস্বতী	Balasaraswati
অ্যালেক স্টুয়ার্ট	Alec Stewart
রবিন স্মিথ	Robin Smith
হাছান মাহমুদ	Hasan Mahmud
রজার হার্পার	Roger Harper
হাসবি বিন হাবিবোল্লাহ	Hasbi Habibollah
হেলালুদ্দীন আহমদ	Helal Uddin Ahmed
হেলেন হান্ট	Helen Hunt
মাইকেল ক্রেমার	Michael Kremer
গীতানাস নওসেদা	Gitanas Nausėda
সোজাব রাজা	Shozab Raza
অ্যান্ডি সার্কিস	Andy Serkis
সোনু ওয়ালিয়া	Sonu Walia
অনুরাধা শর্মা পূজারী	Anuradha Sharma Pujari
অমিত শাহ	Amit Shah
অরিন্দম শীল	Arindam Sil
অ্যালিসন স্ট্রিটার	Alison Streeter
আজহার হোসেন	Azhar Hossain
আদেশ শ্রীবাস্তব	Aadesh Shrivastava
আফজাল হোসেন	Md. Afzal Hossain
আবেদি পেলে	Abedi Pele
নূরুল আবেদীন নোবেল	Nurul Abedin
আব্দুল ওদুদ	Md. Abdul Odud
আলী আজগার টগর	Md. Ali Azgar
ইয়ুর্গেন ক্লিন্সমান	Jürgen Klinsmann
ইসমাইল দরবার	Ismail Darbar
জিমোঁ উন্সু	Djimon Hounsou
এম শফিউল আজম	M Shafiul Azam
ফিল এমরি	Phil Emery
এর্নেস্তো ভালভেরদে	Ernesto Valverde
রনিত এলকাবেটজ	Ronit Elkabetz
এলহাম আমিনজাদেহ	Elham Aminzadeh
স্টিভ ওয়াটকিন	Steve Watkin
ক্লাইভ ওয়েন	Clive Owen
কপিলা বিজেগুণবর্ধনে	Kapila Wijegunawardene
কলিন মিলার	Colin Miller
কামরুল লায়লা জলি	Kamrul Laila Jolly
কে. এম. কামরুল কাদের	K. M. Kamrul Kader
কেয়ানু রিভস	Keanu Reeves
কৌসলা কুরুপ্পুয়ারাচ্চি	Kosala Kuruppuarachchi
গ্রেগ ক্যাম্পবেল	Greg Campbell
রাসেল ক্রো	Russell Crowe
ক্লাউস এবনার	Klaus Ebner
গালিব খান	Ghalib Khan
গুলজার উদ্দিন আহমেদ	Gulzar Uddin Ahmed
আশুতোষ গোয়ারিকর	Ashutosh Gowariker
গৌরী চৌধুরী	Gouri Choudhury
গৌরী প্রধান	Gauri Pradhan
ডন চিডল	Don Cheadle
ম্যাগি চেউং	Maggie Cheung
চৌধুরী আবদুল্লাহ আল মামুন	Chowdhury Abdullah Al-Mamun
অভিষেক চ্যাটার্জী	Abhishek Chatterjee
জনক গামাগে	Janak Gamage
জয়ন্ত দে	Jayanta Dey
জয়ন্তিলাল ভানুসালি	Jayantilal Bhanusali
ফরিদ জাকারিয়া	Fareed Zakaria
নাসরীন জাহান	Nasreen Jahan
জীবন রহমান	Jibon Rahman
জুনায়েদ জামশেদ	Junaid Jamshed
জেনিফার ডাউডনা	Jennifer Doudna
জেফ বেজোস	Jeff Bezos
জেমস	James
জেমি সিডন্স	Jamie Siddons
রড টাকার	Rod Tucker
মার্ক টেলর	Mark Taylor
মারিসা টোমে	Marisa Tomei
ফ্যানি ডি ভিলিয়ার্স	Fanie de Villiers
ম্যাট ডিলন	Matt Dillon
লাকি ডুবে	Lucky Dube
ড্যান ব্রাউন	Dan Brown
তালাল মনসুর	Talal Mansour
গিয়ের্মো দেল তোরো	Guillermo del Toro
গোলাম নওশের	Gholam Nousher
নাদির শাহ	Nadir Shah
নাসরিন ওরিয়াখিল	Nasrin Oryakhil
নাসির আহমেদ	Nasir Ahmed
নিকোলাস কেজ	Nicolas Cage
নূর-ই-আলম চৌধুরী	Noor-E-Alam Chowdhury Liton
রিচার্ড পাইবাস	Richard Pybus
পি. টি. ঊষা	P. T. Usha
পিটার নিরো	Peter Nero
রোজি পেরেজ	Rosie Perez
রশীদ প্যাটেল	Rashid Patel
ব্রিজেট ফন্ডা	Bridget Fonda
ফারান তাহির	Faran Tahir
ফাল্গুনী পাঠক	Falguni Pathak
ম্যাথু ফ্লেমিং	Matthew Fleming
বরিস জনসন	Boris Johnson
বিজয়শান্তি	Vijayashanti
জুলিয়েত বিনোশ	Juliette Binoche
বিন্দু দারা সিং	Vindu Dara Singh
উইনস্টন বেঞ্জামিন	Winston Benjamin
বেবেতো	Bebeto
ডেভিড ব্রেইন	David Brain
ভিমালাক্কা	Vimalakka
মঈন-উল-আতিক	Moin-ul-Atiq
মঞ্জিরী আত্মারাম প্রভু	Manjiri Prabhu
মধুমিতা বিস্ত	Madhumita Bisht
মনোরঞ্জন শীল গোপাল	Manoranjan Shill Gopal
মাইকেল লাউড্রপ	Michael Laudrup
মান্না	Manna
মারাইজ ইরাসমাস	Marais Erasmus
মার্ক ওয়াটার্স	Mark Waters
মার্কো ফন বাস্তেন	Marco van Basten
মাহমুদ আস-সারখী	Mahmoud al-Sarkhi
ছত্রধর মাহাতো	Chhatradhar Mahato
মিজানুর রহমান খান দিপু	Mizanur Rahman Khan Dipu
মিশেল ওবামা	Michelle Obama
মুহাম্মাদ আকরাম নাদভি	Mohammad Akram Nadwi
মেলিন্ডা গেটস	Melinda Gates
মোনা শৌরি কাপুর	Mona Shourie Kapoor
মোনিকা বেলুচ্চি	Monica Bellucci
মৌসুমী ভৌমিক	Moushumi Bhowmik
ম্যাক ইউরী	Mak Yuree
রুমেশ রত্নায়েকে	Rumesh Ratnayake
রাজকুমারী আলিয়া তাবাআ	Princess Alia Tabbaa
জাকির হোসেন রাজু	Zakir Hossain Raju
রাশেদ রউফ	Rashed Rouf
শেখ রাসেল	Sheikh Russel
রাহিবাঈ সোমা পপেরে	Rahibai Soma Popere
রিক রিঅর্ড্যান	Rick Riordan
রিনি সাইমন খান্না	Rini Simon Khanna
রুচিরা কাম্বোজ	Ruchira Kamboj
রেখা ভারদ্বাজ	Rekha Bhardwaj
লরা লিনি	Laura Linney
লিয়াকত হোসেন খোকা	Liyakot Hossain Khoka
লুচিয়ানো ফ্লোরিদি	Luciano Floridi
লেনি ক্রাভিট্‌জ	Lenny Kravitz
গ্রেইম লেব্রয়	Graeme Labrooy
শওকত হাচানুর রহমান রিমন	Showkat Hasanur Rahman Rimon
শরদিন্দু মুখার্জি	Saradindu Mukherjee
অজয় শর্মা	Ajay Sharma
শর্মিলা রেগে	Sharmila Rege
শাভেন্দ্র সিলভা	Shavendra Silva
শোভন চট্টোপাধ্যায়	Sovan Chatterjee
শ্রীহরি	Srihari
সঞ্জীব চৌধুরী	Sanjeeb Choudhury
সন্দীপ শঙ্কলা	Sandeep Sankhla
সাগরিকা ঘোষ	Sagarika Ghose
পিটার সাচ	Peter Such
সান্ড্রা বুলক	Sandra Bullock
সায়ন্তনী ঘোষ	Sayantani Ghosh
সারা ল্যাঙ্কাশায়ার	Sarah Lancashire
সারাহ প্যালিন	Sarah Palin
সৌদ আল-শুরাইম	Saud Al-Shuraim
স্টিভ রোডস	Steve Rhodes
মিল্টন স্মল	Milton Small
স্মিতা ভারতী	Smita Bharti
রুবানা হক	Rubana Huq
হযরত আলী	Hazrat Ali
হামিদ উল হক	Hamid Ul Haq
ইয়ান হিলি	Ian Healy
হুসনা আহমেদ	Husna Ahmad
রবার্ট হেইন্স	Robert Haynes
গ্যারি গর্ডন	Gary Gordon
মেহমেত ওজ	Mehmet Oz
মোহাম্মদ মিজারুল কায়েস	Mohamed Mijarul Quayes
অলকা সরাবগী	Alka Saraogi
জোনাথন অ্যাগ্নিউ	Jonathan Agnew
আছাদুজ্জামান মিয়া	Asaduzzaman Mia
আদ্রিয়ান বিরেল	Adrian Birrell
আবদুল্লাতিফ কাশিশ	Abdellatif Kechiche
আব্দুল্লাহ আব্দুল্লাহ	Abdullah Abdullah
আলতাফ রাজা	Altaf Raja
আলাউর রহমান	Alaur Rahman
ইওয়াখিম ল্যোভ	Joachim Löw
ইয়াসের সেইরাওয়ান	Yasser Seirawan
তানতোয়ি ইয়াহিয়া	Tantowi Yahya
ইসমাত জাহান	Ismat Jahan
এম এম শাহীন	MM Shahin
এম ডি বালসাম্মা	M. D. Valsamma
ডেনিস এমারসন	Denise Emerson
এমিলি থর্নবেরি	Emily Thornberry
এয়ার্তো সেনা	Ayrton Senna
এরিক বেতজিগ	Eric Betzig
এরিন ব্রকোভিচ	Erin Brockovich
এহসান খান	Ehsan Khan
ওমর ফারুক চৌধুরী	Omor Faruk Chowdhury
হুগো ওয়েভিং	Hugo Weaving
কামরুন নাহার চৌধুরী	Kamrun Nahar Chowdhury
কামরুল আশরাফ খান	Kamrul Asraf Khan
টিম কার্টিস	Tim Curtis
কালীচরণ হেমব্রম	Kali Charan Hembram
কিম কি-দুক	Kim Ki-duk
কেকা ফেরদৌসী	Keka Ferdousi
কেভিন কার্টার	Kevin Carter
ক্রিস পটার	Chris Potter
ক্রেগ মেলো	Craig Mello
গণেশ থাপা	Ganesh Thapa
গাজী আশরাফ	Gazi Ashraf
ডেভ গিলবার্ট	Dave Gilbert
বোগালটেক গেব্রে	Bogaletch Gebre
গ্রাহাম ফোর্ড	Graham Ford
গ্রেগ রিচি	Greg Ritchie
চিঙ্গিয মুস্তাফায়েভ	Chingiz Mustafayev
চিরঞ্জিত চক্রবর্তী	Chiranjeet Chakraborty
চৌধুরী হাসান সারওয়ার্দী	Chowdhury Hasan Sarwardy
বিনোদন জন	Vinothen John
জয়শ্রী বর্মণ	Jayasri Burman
জামিলা গিলানি	Jamila Gilani
জিয়া কারাঞ্জি	Gia Carangi
জুলিয়ান লেনন	Julian Lennon
জে রাসেল	Jay Russell
টিম কুক	Tim Cook
মেগ টিলি	Meg Tilly
ডগ ম্যাকলয়েড	Doug McLeod
কেভিন ডিউয়ার্স	Kevin Duers
ডেভিড ডুকভ্‌নি	David Duchovny
ডেমন হিল	Damon Hill
তাকাশি মিইকে	Takashi Miike
তানভীর ইমাম	Tanveer Imam
তাপস পাল	Tapas Paul
তৃতীয় বেনিগনো অ্যাকুইনো	Benigno Aquino III
গ্রেগ থমাস	Greg Thomas
বাসাম আল-থাওয়াদি	Bassam Al-Thawadi
দিয়েগো মারাদোনা	Diego Maradona
নন্দমুরি বলকৃষ্ণ	Nandamuri Balakrishna
নীল গেইম্যান	Neil Gaiman
নূরুল কবীর	Nurul Kabir
বিতা পজ্‌নিয়াক	Beata Poźniak
জাফর পানাহি	Jafar Panahi
শাহানা পারভীন	Shahana Parveen
ঈশ্বর পোখরেল	Ishwor Pokhrel
গ্র্যান্ট প্যাটারসন	Grant Paterson
কলিন ফার্থ	Colin Firth
জয়ানন্দ বর্ণবীরা	Jayananda Warnaweera
বাদল খন্দকার	Badol Khondokar
আন্তোনিও বান্দেরাস	Antonio Banderas
ফজলুর রহমান বাবু	Fazlur Rahman Babu
কিম বার্নেট	Kim Barnett
রজার বিজেসুরিয়া	Roger Wijesuriya
বীর বাহাদুর উশৈ সিং	Ushwe Sing
ইয়ান বুচার্ট	Iain Butchart
ডেভিড বুন	David Boon
এলডিন ব্যাপটিস্ট	Eldine Baptiste
ব্রুস অক্সেনফোর্ড	Bruce Oxenford
কেনেথ ব্র্যানা	Kenneth Branagh
শিশির ভট্টাচার্য্য	Shishir Bhattacharjee
